State Name,Dist Name,Crop,Historical_Avg_Yield_13_17,Trend_Slope,Expected_2018_Yield
Andhra Pradesh,Kadapa YSR,RABI SORGHUM,1314.558,-182.221,767.8950000000186
Andhra Pradesh,Kadapa YSR,RAPESEED AND MUSTARD,100.0,50.0,250.0
Andhra Pradesh,Kadapa YSR,RICE,3069.718,-92.464,2792.326000000001
Andhra Pradesh,Kadapa YSR,SAFFLOWER,393.334,70.0,603.3340000000026
Andhra Pradesh,Kadapa YSR,SESAMUM,501.03000000000003,2.407000000000006,508.2510000000002
Andhra Pradesh,Kadapa YSR,SORGHUM,1363.434,-210.26699999999997,732.6330000000307
Andhra Pradesh,Kadapa YSR,SOYABEAN,1189.566,173.35399999999996,1709.6279999999679
Andhra Pradesh,Kadapa YSR,SUGARCANE,7931.582,607.1390000000001,9752.999000000069
Andhra Pradesh,Kadapa YSR,SUNFLOWER,1135.874,287.25300000000004,1997.6330000000307
Andhra Pradesh,Kadapa YSR,WHEAT,891.006,68.78399999999998,1097.3580000000075
Andhra Pradesh,Krishna,BARLEY,0.0,0.0,0.0
Andhra Pradesh,Krishna,CASTOR,200.0,-200.00000000000003,0.0
Andhra Pradesh,Krishna,CHICKPEA,1931.882,-19.196999999999978,1874.2909999999974
Andhra Pradesh,Krishna,COTTON,742.5260000000001,1.5610000000000077,747.2089999999998
Andhra Pradesh,Krishna,FINGER MILLET,0.0,0.0,0.0
Andhra Pradesh,Krishna,GROUNDNUT,2911.888,372.047,4028.0289999999804
Andhra Pradesh,Krishna,KHARIF SORGHUM,687.61,143.80499999999995,1119.024999999965
Andhra Pradesh,Krishna,LINSEED,0.0,0.0,0.0
Andhra Pradesh,Krishna,MAIZE,6466.910000000001,-25.593000000000032,6390.131000000001
Andhra Pradesh,Krishna,MINOR PULSES,1029.092,17.324999999999992,1081.0669999999955
Andhra Pradesh,Krishna,OILSEEDS,11789.32,2704.584000000001,19903.071999999695
Andhra Pradesh,Krishna,PEARL MILLET,0.0,0.0,0.0
Andhra Pradesh,Krishna,PIGEONPEA,858.4759999999999,188.08199999999994,1422.7220000000088
Andhra Pradesh,Krishna,RABI SORGHUM,4188.946,-154.7740000000001,3724.6240000000107
Andhra Pradesh,Krishna,RAPESEED AND MUSTARD,311.12800000000004,-13.984999999999998,269.17299999999886
Andhra Pradesh,Krishna,RICE,3605.368,191.79400000000004,4180.75
Andhra Pradesh,Krishna,SAFFLOWER,0.0,0.0,0.0
Andhra Pradesh,Krishna,SESAMUM,251.87600000000003,-10.579999999999998,220.13600000000224
Andhra Pradesh,Krishna,SORGHUM,4071.1200000000003,-237.534,3358.51800000004
Andhra Pradesh,Krishna,SOYABEAN,0.0,0.0,0.0
